disease,symptoms
panic disorder,"anxiety and nervousness, depression, shortness of breath, depressive or psychotic symptoms, dizziness, insomnia, abnormal involuntary movements, chest tightness, palpitations, irregular heartbeat, breathing fast"
vocal cord polyp,"hoarse voice, sore throat, difficulty speaking, throat swelling, throat feels tight"
turner syndrome,"depression, emotional symptoms"
cryptorchidism,"lack of growth, symptoms of the scrotum and testes, swelling of scrotum"
poisoning due to ethylene glycol,"depression, depressive or psychotic symptoms, abusing alcohol, fainting"
atrophic vaginitis,"suprapubic pain, vaginal itching, painful urination, involuntary urination, pain during intercourse, frequent urination, vaginal discharge, blood in urine"
fracture of the hand,"hand or finger pain, wrist pain, hand or finger swelling, arm pain, wrist swelling, arm stiffness or tightness, hand or finger stiffness or tightness, wrist stiffness or tightness"
cellulitis or abscess of mouth,"sore throat, throat swelling, difficulty in swallowing, lip swelling, toothache, abnormal appearing skin, skin growth"
eye alignment disorder,"lack of growth, eye deviation, diminished vision, double vision, cross-eyed, symptoms of eye, pain in eye, eye moves abnormally, irregular appearing scalp"
headache after lumbar puncture,"dizziness, vomiting, headache, nausea, painful urination, neck pain, low back pain"
pyloric stenosis,"cough, vomiting, arm stiffness or tightness"
salivary gland disorder,"sore throat, cough, throat feels tight, swollen lymph nodes"
osteochondrosis,"hand or finger pain, knee pain, foot or toe pain, bowlegged or knock-kneed, ankle pain, elbow pain"
injury to the knee,"leg pain, knee pain, knee weakness, problems with movement, foot or toe swelling"
metabolic disorder,"jaundice, arm stiffness or tightness, weight gain, smoking problems"
vaginitis,"suprapubic pain, sharp abdominal pain, vaginal itching, painful urination, pain during intercourse, lower abdominal pain, vaginal discharge, pain during pregnancy, pelvic pain, vaginal pain, vaginal redness"
sick sinus syndrome,"shortness of breath, dizziness, palpitations, irregular heartbeat, fainting, weakness, decreased heart rate, increased heart rate"
tinnitus of unknown cause,"dizziness, hoarse voice, diminished hearing, headache, ear pain, ringing in ear, plugged feeling in ear, itchy ear(s)"
glaucoma,"diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, spots or clouds in vision, eye redness, lacrimation, itchiness of eye, itchy eyelid"
eating disorder,"anxiety and nervousness, depression, depressive or psychotic symptoms, insomnia, abusing alcohol, acne or pimples, weight gain, difficulty eating, decreased appetite"
transient ischemic attack,"depressive or psychotic symptoms, dizziness, difficulty speaking, headache, weakness, loss of sensation, focal weakness, symptoms of the face, disturbance of memory, paresthesia"
pyelonephritis,"suprapubic pain, sharp abdominal pain, vomiting, nausea, painful urination, frequent urination, lower abdominal pain, blood in urine, back pain, low back pain, side pain"
rotator cuff injury,"arm pain, arm stiffness or tightness, hand or finger stiffness or tightness, shoulder pain, shoulder stiffness or tightness, shoulder weakness"
chronic pain disorder,"leg pain, hip pain, sharp abdominal pain, headache, back pain, low back pain, pelvic pain, knee pain, shoulder pain, ache all over"
problem during pregnancy,"sharp abdominal pain, vomiting, headache, nausea, lower abdominal pain, back pain, pain during pregnancy, pelvic pain, problems during pregnancy, spotting or bleeding during pregnancy, cramps and spasms"
liver cancer,"groin mass, sharp abdominal pain, decreased appetite, upper abdominal pain, stomach bloating"
atelectasis,"shortness of breath, sharp chest pain, dizziness, sore throat, cough, headache"
injury to the hand,"hand or finger pain, wrist pain, hand or finger swelling, wrist swelling, hand or finger stiffness or tightness, skin growth, joint pain"
choledocholithiasis,"sharp chest pain, jaundice, sharp abdominal pain, vomiting, nausea, decreased appetite, side pain, upper abdominal pain, chills"
injury to the hip,"leg pain, hip pain, hand or finger swelling, neck pain"
cirrhosis,"shortness of breath, blood in stool, sharp abdominal pain, vomiting blood, regurgitation, peripheral edema, upper abdominal pain, abdominal distention, regurgitation.1"
thoracic aortic aneurysm,"shortness of breath, sharp chest pain, dizziness, chest tightness, jaundice, sharp abdominal pain, fatigue"
subdural hemorrhage,"depressive or psychotic symptoms, dizziness, irritable infant, vomiting, headache, facial pain"
diabetic retinopathy,"diminished vision, double vision, symptoms of eye, pain in eye, abnormal movement of eyelid, foreign body sensation in eye, spots or clouds in vision, lacrimation, itchiness of eye"
fibromyalgia,"sharp chest pain, leg pain, hip pain, headache, arm pain, back pain, neck pain, low back pain, muscle pain, ache all over"
ischemia of the bowel,"retention of urine, blood in stool, sharp abdominal pain, vomiting, nausea, burning abdominal pain, constipation"
fetal alcohol syndrome,"depressive or psychotic symptoms, emotional symptoms, excessive anger"
peritonitis,"shortness of breath, groin mass, sharp abdominal pain, vomiting, nausea, intermenstrual bleeding, back pain, side pain"
injury to the abdomen,"sharp chest pain, leg pain, sharp abdominal pain, blood in urine, back pain"
acute pancreatitis,"sharp chest pain, abusing alcohol, sharp abdominal pain, vomiting, nausea, diarrhea, back pain, burning abdominal pain, side pain, lower body pain, upper abdominal pain, hemoptysis"
thrombophlebitis,"skin swelling, leg pain, arm pain, arm swelling, foot or toe pain, leg swelling, ache all over, lymphedema, skin on leg or foot looks infected"
asthma,"shortness of breath, sharp chest pain, chest tightness, cough, nasal congestion, wheezing, fever, difficulty breathing, coughing up sputum, coryza, allergic reaction"
foreign body in the vagina,"emotional symptoms, painful urination, vaginal discharge"
restless leg syndrome,"depression, insomnia, abnormal involuntary movements, leg pain, headache, fatigue, sleepiness, apnea"
emphysema,"shortness of breath, sharp chest pain, cough, emotional symptoms"
cysticercosis,"shortness of breath, elbow weakness, headache, seizures"
induced abortion,"sharp abdominal pain, lower abdominal pain, vaginal discharge, intermenstrual bleeding, pain during pregnancy, spotting or bleeding during pregnancy, cramps and spasms, groin pain"
teething syndrome,"cough, nasal congestion, diarrhea, symptoms of infants, ear pain, decreased appetite, fever, temper problems, redness in ear"
infectious gastroenteritis,"blood in stool, sharp abdominal pain, vomiting, headache, nausea, diarrhea, burning abdominal pain, decreased appetite, fever, chills, fluid retention, flu-like syndrome"
acute sinusitis,"sore throat, cough, nasal congestion, facial pain, ear pain, frontal headache, fever, coughing up sputum, coryza, sinus congestion, painful sinuses"
substance-related mental disorder,"anxiety and nervousness, depressive or psychotic symptoms, insomnia, hostile behavior, drug abuse, feeling ill, delusions or hallucinations"
postpartum depression,"anxiety and nervousness, depression, depressive or psychotic symptoms, drug abuse, intermenstrual bleeding, pain during pregnancy, excessive anger, problems during pregnancy, delusions or hallucinations"
coronary atherosclerosis,"shortness of breath, sharp chest pain, chest tightness, palpitations, irregular heartbeat, leg cramps or spasms, fatigue, burning chest pain"
spondylitis,"leg pain, hip pain, back pain, neck pain, low back pain, side pain, lower body pain, stiffness all over, back mass or lump"
pituitary adenoma,"headache, nausea, pain in eye, muscle swelling"
uterine fibroids,"sharp abdominal pain, involuntary urination, lower abdominal pain, intermenstrual bleeding, pelvic pain, cramps and spasms, heavy menstrual flow, unpredictable menstruation, painful menstruation"
idiopathic nonmenstrual bleeding,"sharp abdominal pain, painful urination, vaginal discharge, intermenstrual bleeding, long menstrual periods, unpredictable menstruation"
chalazion,"skin growth, diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, eye redness, lacrimation, mass on eyelid, swollen eye, eyelid swelling"
ovarian torsion,"skin swelling, groin mass, sharp abdominal pain, lower abdominal pain, pelvic pain, ache all over"
retinopathy due to high blood pressure,"pus draining from ear, diminished vision, symptoms of eye, pain in eye, foreign body sensation in eye, spots or clouds in vision"
